"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","44.60","","","","2"
"2019-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","44.83","","","","2"
"2020-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","43.19","","","","2"
"2020-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","43.60","","","","2"
"2020-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","46.36","","","","2"
"2020-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","45.45","","","","2"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","45.05","","","","2"
"2019-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.38","","","","2"
"2019-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.40","","","","2"
"2019-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.55","","","","2"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.33","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.07","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.06","","","","2"
"2019-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","29.96","","","","2"
"2019-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","29.90","","","","2"
"2019-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.57","","","","2"
"2019-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.92","","","","2"
"2019-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.17","","","","2"
"2019-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","30.83","","","","2"
"2020-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.41","","","","2"
"2020-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.09","","","","2"
"2020-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.65","","","","2"
"2020-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.62","","","","2"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Both sexes","15 years and over","Current dollars","75","units","0","v2132599","1.2.1.6.1.1","31.42","","","","2"
"2019-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","26.83","","","","2"
"2019-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.56","","","","2"
"2019-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.46","","","","2"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.47","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.28","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.65","","","","2"
"2019-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.43","","","","2"
"2019-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.34","","","","2"
"2019-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.73","","","","2"
"2019-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","28.03","","","","2"
"2019-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.88","","","","2"
"2019-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","27.79","","","","2"
"2020-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","28.09","","","","2"
"2020-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","28.13","","","","2"
"2020-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","28.42","","","","2"
"2020-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","29.92","","","","2"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v2132604","1.2.1.7.1.1","29.31","","","","2"
"2019-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","26.80","","","","2"
"2019-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","26.93","","","","2"
"2019-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","27.02","","","","2"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","27.14","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","27.18","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","27.34","","","","2"
